Gold (OG|GC) I0DU26 (1.05 DTE) vs 4285.9 (-88.9) - Open Interest
Put: 1,628  Call: 2,399  Vol: 24.71  Vol Chg: 0.00  Future Chg: -88.9
Strike,Call,Put,Vol Settle
3000,0,0,0.0
3250,0,0,0.0
3500,0,0,0.0
3600,0,0,0.0
3700,0,0,0.0
3750,0,0,0.0
3800,0,1,0.0
3900,0,0,0.0
3940,0,0,0.0
3945,0,0,0.0
3950,0,0,0.0
3955,0,0,0.0
3960,0,0,0.0
3965,0,0,0.0
3970,0,0,0.0
3975,0,3,0.0
3980,0,0,0.0
3985,0,0,0.0
3990,0,0,0.0
3995,0,0,0.0
4000,0,9,0.0
4005,0,0,0.0
4010,0,0,0.0
4015,0,0,0.0
4020,0,0,0.0
4025,0,15,0.0
4030,0,1,0.0
4035,0,0,0.0
4040,0,1,0.0
4045,0,0,0.0
4050,0,67,0.0
4055,0,0,0.0
4060,0,0,0.0
4065,0,0,0.0
4070,0,0,0.0
4075,0,75,0.0
4080,0,3,0.0
4085,0,0,0.0
4090,0,0,0.0
4095,0,0,0.0
4100,0,14,0.0
4105,0,1,0.0
4110,0,0,0.0
4115,0,0,0.0
4120,0,0,0.0
4125,0,1,0.0
4130,0,1,0.0
4135,0,0,0.3256
4140,0,0,0.0
4145,0,2,0.315
4150,0,3,0.3127
4155,1,0,0.3094
4160,0,0,0.3054
4165,0,4,0.3006
4170,0,0,0.2953
4175,2,5,0.2939
4180,0,11,0.2873
4185,0,2,0.2859
4190,0,1,0.2848
4195,0,0,0.2809
4200,0,22,0.2775
4205,0,0,0.2756
4210,0,1,0.2724
4215,0,0,0.2692
4220,2,0,0.2668
4225,0,40,0.2649
4230,0,0,0.2632
4235,0,5,0.2601
4240,0,0,0.2593
4245,0,4,0.2569
4250,2,208,0.2556
4255,0,4,0.2539
4260,0,0,0.2524
4265,0,9,0.2515
4270,0,2,0.2505
4275,45,35,0.2499
4280,0,14,0.2496
4285,0,7,0.2486
4290,0,15,0.2402
4295,1,6,0.2413
4300,11,135,0.2404
4305,0,7,0.2404
4310,1,63,0.2408
4315,0,3,0.2411
4320,0,5,0.2426
4325,10,114,0.2437
4330,0,13,0.2435
4335,0,28,0.2453
4340,1,7,0.2471
4345,1,0,0.2489
4350,69,73,0.2511
4355,17,1,0.2538
4360,31,7,0.2551
4365,7,5,0.2586
4370,2,35,0.2609
4375,78,132,0.2634
4380,14,26,0.2663
4385,8,5,0.2681
4390,57,113,0.2725
4395,16,10,0.2762
4400,328,71,0.279
4405,0,10,0.2835
4410,7,17,0.2874
4415,9,8,0.2905
4420,10,6,0.2927
4425,86,93,0.2938
4430,12,0,0.3025
4435,6,1,0.0
4440,12,0,0.0
4445,24,0,0.3135
4450,36,9,0.0
4455,23,0,0.0
4460,39,0,0.0
4465,0,0,0.0
4470,14,0,0.0
4475,87,10,0.0
4480,6,0,0.0
4485,0,0,0.0
4490,7,0,0.0
4495,0,0,0.0
4500,173,6,0.0
4505,0,0,0.0
4510,5,0,0.0
4515,7,1,0.0
4520,21,0,0.0
4525,96,2,0.0
4530,3,0,0.0
4535,0,0,0.0
4540,22,0,0.0
4545,6,0,0.0
4550,50,1,0.0
4555,0,0,0.0
4560,0,0,0.0
4565,2,0,0.0
4570,0,2,0.0
4575,210,2,0.0
4580,0,0,0.0
4585,0,0,0.0
4590,0,0,0.0
4595,0,0,0.0
4600,84,1,0.0
4605,0,0,0.0
4610,0,0,0.0
4615,0,0,0.0
4620,1,0,0.0
4625,11,5,0.0
4630,0,0,0.0
4635,0,0,0.0
4640,18,0,0.0
4645,0,0,0.0
4650,100,3,0.0
4655,0,0,0.0
4660,0,0,0.0
4665,0,0,0.0
4670,0,0,0.0
4675,19,1,0.0
4680,1,0,0.0
4685,0,0,0.0
4690,0,0,0.0
4695,0,0,0.0
4700,40,2,0.0
4705,0,0,0.0
4710,5,0,0.0
4715,0,0,0.0
4720,0,0,0.0
4725,53,0,0.0
4730,5,0,0.0
4735,0,0,0.0
4740,7,0,0.0
4745,0,0,0.0
4750,30,1,0.0
4755,0,0,0.0
4760,0,0,0.0
4765,0,0,0.0
4770,0,0,0.0
4775,11,2,0.0
4780,0,0,0.0
4785,0,0,0.0
4790,0,0,0.0
4795,0,0,0.0
4800,34,0,0.0
4805,0,0,0.0
4810,9,0,0.0
4815,0,0,0.0
4820,0,0,0.0
4825,42,0,0.0
4830,0,0,0.0
4835,0,0,0.0
4840,0,0,0.0
4845,0,0,0.0
4850,46,0,0.0
4855,0,0,0.0
4860,0,0,0.0
4865,0,0,0.0
4875,9,0,0.0
4900,13,0,0.0
4925,2,0,0.0
4950,2,0,0.0
4975,1,0,0.0
5000,71,0,0.0
5025,10,0,0.0
5050,62,0,0.0
5075,0,0,0.0
5100,23,0,0.0
5200,4,0,0.0
5250,6,0,0.0
5300,3,0,0.0
5400,0,0,0.0
5500,0,0,0.0
5600,0,0,0.0
5750,0,0,0.0
6000,0,0,0.0
