Gold (OG|GC) G4MN6 (0.26 DTE) vs 4105.3 (+34.5) - Open Interest
Put: 1,830  Call: 1,815  Vol: 26.21  Vol Chg: 12.00  Future Chg: 34.5
Strike,Call,Put,Vol Settle
4025,0,22,0.16036714221809234
4030,0,113,0.1579221343890822
4035,0,37,0.15563100653707806
4040,0,43,0.15350120577568305
4045,2,13,0.15153956969697902
4050,57,56,0.14975232627512014
4055,54,24,0.14814509396273934
4060,19,14,0.14672288157998992
4065,24,49,0.14549008841640898
4070,31,15,0.14445050419817562
4075,42,69,0.14360730904991215
4080,35,5,0.14296307354743476
4085,41,3,0.14251975869228772
4090,30,1,0.14227871587900154
4095,56,0,0.1422406870078703
4100,301,15,0.1424058043394325
4105,4,5,0.14277359056541172
4110,15,14,0.14334295886692416
4115,12,13,0.14411221277259756
4120,49,1,0.1450790463222802
4125,107,42,0.14624054389969388
4130,27,3,0.14759318040159997
4135,29,0,0.14913282108864223
4140,66,14,0.15085472166538239
4145,11,1,0.15275352830394695
4150,116,8,0.15482327755489678
4155,27,1,0.1570573964036157
4160,6,1,0.15944870230850938
4165,13,0,0.1619894030973228
4170,7,1,0.16467109708719363
4175,69,4,0.16748477296459896
4180,12,1,0.17042080988721864
4185,4,0,0.17346897742027068
4190,2,1,0.17661843557471002
