Gold (OG|GC) G2WQ6 (0.05 DTE) vs 4445.5 (+37.3) - Open Interest
Put: 3,863  Call: 3,006  Vol: 21.21  Vol Chg: -13.82  Future Chg: 37.3
Strike,Call,Put,Vol Settle
4415,43,7,0.3444306918026996
4420,16,3,0.3451106826414616
4425,87,3,0.3459495764809617
4430,7,8,0.3469469883580132
4435,11,1,0.3481024083939701
4440,38,1,0.3494152017783563
4445,6,0,0.3508846087652273
4450,131,3,0.35250974468954155
4455,27,2,0.3542895999717075
4460,18,0,0.3562230400862063
4465,19,0,0.3583088055870576
4470,21,0,0.3605455121041814
4475,174,0,0.36293165034248887
